================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               912.7        978.7      +66.0 (+7.2%)
Z3 time (s)                1595.7       1546.5      -49.3 (-3.1%)
Z3 rlimit                  2763.5       2646.4     -117.1 (-4.2%)
Queries                     26189        26163        -26 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
Bug2684a                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.1
Bug2699                                      13     13      +0        0.6       0.6      +0.0%       0.4      0.4
Bug2756                                      12     12      +0        0.2       0.2      +0.0%       0.5      0.3
Bug279                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2806a                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.1
Bug2806b                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug2806c                                      4      4      +0        0.1       0.1      +0.0%       0.2      0.3
Bug281                                       15     15      +0        0.8       0.8      +0.0%       1.0      1.2
Bug283                                        2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Bug283.XOR_Laws                               1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug284                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug2882                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug289                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.6
Bug2895                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug29                                         2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug290                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.4
Bug292                                        1      1      +0        0.0       0.0      +0.0%       0.5      0.2
Bug293                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug2954                                       4      4      +0        0.0       0.0      +0.0%       0.6      0.7
Bug3028                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug3081                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.0
Bug3089                                       4      4      +0        0.1       0.1      +0.0%       0.6      0.3
Bug3099                                       5      5      +0        0.0       0.0      +0.0%       0.6      0.6
Bug312                                        1      1      +0        0.3       0.3      +0.0%       0.6      0.8
Bug3120a                                     20     20      +0        0.7       0.7      +0.0%       1.6      1.4
Bug3130c                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug3130d                                     17     17      +0        0.8       0.8      +0.0%       1.1      1.2
Bug3130e                                      4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug316                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Bug3186                                      10     10      +0        0.0       0.0      +0.0%       0.2      0.2
Bug320                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug3207c                                    100    100      +0        1.5       1.5      +0.0%       1.6      1.6
Bug3210                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug3213                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.4
Bug3213b                                      3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug3224a                                      2      2      +0        0.1       0.1      +0.0%       0.2      0.2
Bug3224b                                      3      3      +0        0.0       0.0      +0.0%       0.4      0.1
Bug3227                                      10     10      +0        0.0       0.0      +0.0%       0.5      0.5
Bug331Index                                   3      3      +0        0.0       0.0      +0.0%       0.5      0.3
Bug331Iso                                     5      5      +0        0.0       0.0      +0.0%       0.4      0.4
Bug3320                                       3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug3353                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Bug347                                        8      8      +0        0.1       0.1      +0.0%       0.2      0.2
Bug3522.Def                                   1      1      +0        0.0       0.0      +0.0%       0.5      0.2
Bug356                                        4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug357                                        4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug3616                                       2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Bug363                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug379                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.3
Bug380_2                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug383                                        3      3      +0        0.0       0.0      +0.0%       0.3      0.3
Bug3865b                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug387                                        2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug398                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug3980                                       3      3      +0        0.0       0.0      +0.0%       0.3      0.4
Bug399                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.5
Bug405                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug4092                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.4
Bug4092b                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug416                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug422                                        8      8      +0        0.1       0.1      +0.0%       0.4      0.8
Bug424                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.5
Bug431                                       34     34      +0        0.4       0.4      +0.0%       0.3      0.3
Bug433                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug442                                       11     11      +0        0.2       0.2      +0.0%       0.3      0.3
Bug45                                         8      8      +0        0.1       0.1      +0.0%       0.4      0.4
Bug451                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug463b                                       7      7      +0        0.1       0.1      +0.0%       0.4      0.6
Bug466                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug512                                        8      8      +0        0.2       0.2      +0.0%       0.2      0.2
Bug517                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug543                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.4
Bug566                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.3
Bug575                                       21     21      +0        0.1       0.1      +0.0%       0.3      0.3
Bug576                                        4      4      +0        0.0       0.0      +0.0%       0.5      0.5
Bug577                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Bug579                                        4      4      +0        0.0       0.0      +0.0%       0.4      0.4
Bug581                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug583                                       13     13      +0        0.1       0.1      +0.0%       0.3      0.3
Bug583b                                      13     13      +0        1.1       1.1      +0.0%       0.9      1.0
Bug589                                        1      1      +0        0.0       0.0      +0.0%       0.5      0.5
Bug590                                        4      4      +0        0.1       0.1      +0.0%       0.7      0.5
Bug605                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug606                                       10     10      +0        0.1       0.1      +0.0%       0.7      0.7
Bug609                                        3      3      +0        0.0       0.0      +0.0%       0.7      0.6
Bug613                                        4      4      +0        0.0       0.0      +0.0%       0.4      0.3
Bug623                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug706                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug707                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug710                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.6
Bug711                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug734                                        2      2      +0        0.0       0.0      +0.0%       0.6      0.4
Bug736                                        5      5      +0        0.0       0.0      +0.0%       0.5      0.5
Bug747                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug756                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug771                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Bug771b                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.3
Bug775                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.5
Bug818b                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug829                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Bug844                                        1      1      +0        0.0       0.0      +0.0%       0.5      0.3
Bug855a                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.5
Bug94                                         2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Bug95                                         4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug95b                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug989                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.2
BugBoxInjectivity                            11     11      +0        0.1       0.1      +0.0%       0.5      0.3
BugGhostReturn                                4      4      +0        0.0       0.0      +0.0%       0.2      0.3
BugHigherOrderApplication                     2      2      +0        0.0       0.0      +0.0%       0.4      0.4
BugIfFalse                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.2
BugRecordPoly                                 4      4      +0        0.0       0.0      +0.0%       0.5      0.5
BugTypeParamProjector                         1      1      +0        0.0       0.0      +0.0%       0.4      0.3
BugUnificationUnderBinder                     2      2      +0        0.0       0.0      +0.0%       0.2      0.2
BugWhileInv                                  19     19      +0        0.2       0.2      +0.0%       0.3      0.3
BugWildcardTelescopes                        13     13      +0        0.1       0.1      +0.0%       0.4      0.4
BvBinaryOps                                  37     37      +0        9.6       9.6      +0.0%      19.7     13.4
C                                             1      1      +0        0.0       0.0      +0.0%       0.1      0.2
CBN                                           1      1      +0        0.0       0.0      +0.0%       0.1      0.2
CPS.Double                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.2
CPS.DoubleDefun                               8      8      +0        0.1       0.1      +0.0%       0.2      0.2
CPS.DoubleLambdaLifting                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
CPS.DoubleLambdaLifting2                      1      1      +0        0.0       0.0      +0.0%       0.2      0.2
CPS.Expr                                      4      4      +0        0.0       0.0      +0.0%       0.2      0.1
CPS.Simple                                    1      1      +0        0.0       0.0      +0.0%       0.2      0.2
CPS.SimpleDefun                               5      5      +0        0.0       0.0      +0.0%       0.2      0.2
CPS.SimpleLambdaLifting                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Calc                                          3      3      +0        0.0       0.0      +0.0%       0.2      0.2
CalcImpl                                     24     24      +0        0.2       0.2      +0.0%       1.0      0.8
CalcInference                                 3      3      +0        0.0       0.0      +0.0%       0.2      0.3
CalcTest                                      7      7      +0        0.2       0.2      +0.0%       0.2      0.2
CallSubtac                                    7      7      +0        0.2       0.2      +0.0%       0.5      0.3
Canon                                         2      2      +0        0.8       0.8      +0.0%       0.3      0.4
Canon.Test                                    1      1      +0        0.2       0.2      +0.0%       0.2      0.3
CanonCommSemiring                            78     78      +0        5.4       5.4      +0.0%       3.5      3.5
CanonDeep                                     3      3      +0        0.1       0.1      +0.0%       0.4      0.4
Cases                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Cert.ACLs                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Change                                        2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Check                                         2      2      +0        0.0       0.0      +0.0%       0.3      0.3
CheckMatchComplete                            3      3      +0        0.0       0.0      +0.0%       0.2      0.2
ClassicalSugar                               29     29      +0        0.2       0.2      +0.0%       0.4      0.4
Clear                                         2      2      +0        0.0       0.0      +0.0%       0.3      0.4
Coercions                                     6      6      +0        0.0       0.0      +0.0%       0.1      0.1
Coincidence                                   6      6      +0        0.2       0.2      +0.0%       0.3      0.2
CommuteMatch                                  2      2      +0        0.0       0.0      +0.0%       0.3      0.4
CommuteNestedMatches                          3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Connectives                                  26     26      +0        0.1       0.1      +0.0%       0.3      0.3
ConstructiveLogic                            10     10      +0        0.1       0.1      +0.0%       0.1      0.1
ConstructorAttributes                         2      2      +0        0.0       0.0      +0.0%       0.4      0.3
ConsumerInterface                             1      1      +0        0.0       0.0      +0.0%       0.2      0.2
CoreCheckMatch                               19     19      +0        0.2       0.2      +0.0%       0.3      0.3
CoreEqualityGuard                             2      2      +0        0.0       0.0      +0.0%       0.2      0.2
CtorWithTc                                    3      3      +0        0.0       0.0      +0.0%       0.1      0.2
DM4F                                         13     13      +0        0.3       0.3      +0.0%       0.3      0.3
DM4F.ST                                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
DM4F_layered                                 17     17      +0        0.5       0.5      +0.0%       0.6      0.6
DM4F_layered.ST                               3      3      +0        0.0       0.0      +0.0%       0.0      0.0
DM4F_layered5                                18     18      +0        0.5       0.5      +0.0%       0.5      0.5
DM4F_layered5.ST                              2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Dec                                          12     12      +0        0.2       0.2      +0.0%       0.8      1.3
DecreasesTypeWarning                         10     10      +0        0.1       0.1      +0.0%       0.6      0.6
Defer                                        12     12      +0        0.1       0.1      +0.0%       0.2      0.3
Definitions                                   8      8      +0        0.0       0.0      +0.0%       0.2      0.2
DelimCC                                      14     14      +0        0.2       0.2      +0.0%       0.5      0.5
DelimitedRelease                              6      6      +0        0.2       0.2      +0.0%       0.5      0.4
DeltaDepth                                    3      3      +0        0.0       0.0      +0.0%       0.2      0.2
DeltaDepthUnif                                2      2      +0        0.0       0.0      +0.0%       0.6      0.4
DependentSynth                                2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Deriving                                     14     14      +0        0.4       0.4      +0.0%       0.5      0.5
Destruct                                     30     30      +0        0.2       0.2      +0.0%       0.4      0.3
DijkstraStateMonad                           15     15      +0        1.1       1.1      +0.0%       0.8      0.8
DijkstraStateMonad.IFST                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
DivAction                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Divergence                                   20     20      +0        0.2       0.2      +0.0%       0.4      0.4
DoNotation                                    2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Easy                                          2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Effects.Coherence                             2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Effects.Def                                  32     32      +0        3.0       3.0      +0.0%       1.6      1.5
ElimExists                                    1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Enum                                          4      4      +0        0.1       0.1      +0.0%       0.2      0.2
EnumEq                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.2
EnvSquash                                     2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Eq                                           14     14      +0        0.2       0.2      +0.0%       0.3      0.3
Erasable                                     18     18      +0        0.1       0.1      +0.0%       0.6      0.7
Erased                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.1
ErrorMsg                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Eta_expand                                    2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Eval.DB                                      20     20      +0        0.1       0.1      +0.0%       0.3      0.3
Even                                          6      6      +0        0.0       0.0      +0.0%       0.2      0.2
Evens                                         8      8      +0        0.0       0.0      +0.0%       0.4      0.4
EverParseIssue                                2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Ex01a                                         5      5      +0        0.0       0.0      +0.0%       0.4      0.4
Ex03a                                         2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Ex03b                                         2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Ex03c                                         3      3      +0        0.1       0.1      +0.0%       0.4      0.3
Ex04c                                         5      5      +0        0.1       0.1      +0.0%       0.5      0.4
Ex04g                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.3
Ex04h                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Ex05a                                        11     11      +0        0.2       0.2      +0.0%       0.3      0.4
Ex05b                                        13     13      +0        0.2       0.2      +0.0%       0.4      0.5
Ex06a                                         1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Ex06c                                        11     11      +0        1.5       1.5      +0.0%       1.1      0.9
Ex06e                                         7      7      +0        0.3       0.3      +0.0%       0.5      0.4
Ex07c                                        63     63      +0        3.9       3.9      +0.0%       2.8      2.3
Ex10b                                        23     23      +0        0.6       0.6      +0.0%       0.7      0.7
Ex12.BMAC                                     4      4      +0        0.0       0.0      +0.0%       0.3      0.4
Ex12.Pad                                     10     10      +0        0.4       0.4      +0.0%       0.6      0.5
Ex12a.ACLs                                    4      4      +0        0.0       0.0      +0.0%       0.1      0.2
Ex12d.Pad                                     7      7      +0        0.1       0.1      +0.0%       0.3      0.4
Ex12e.Pad                                    11     11      +0        0.3       0.3      +0.0%       0.6      0.6
Ex12f.TMAC                                    3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Ex12g.TMAC2                                   8      8      +0        0.1       0.1      +0.0%       0.5      0.3
Example.BreakReturnContinue                 122    122      +0        2.2       2.2      +0.0%       1.8      1.7
Example.Slice                                15     15      +0        1.3       1.3      +0.0%       0.9      0.9
Example.TestOnAutomation                      6      6      +0        0.0       0.0      +0.0%       0.2      0.2
Example.Unreachable                           2      2      +0        0.0       0.0      +0.0%       0.2      0.2
ExtTest                                      31     31      +0        0.2       0.2      +0.0%       0.4      0.4
ExtTest1                                     20     20      +0        0.1       0.1      +0.0%       0.2      0.3
ExtTest2                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Extend                                        6      6      +0        0.1       0.1      +0.0%       0.2      0.2
ExtractMutRecTypesAndTerms                    1      1      +0        0.0       0.0      +0.0%       0.2      0.2
ExtractPulseFnIface                           1      1      +0        0.0       0.0      +0.0%       0.1      0.2
ExtractUninit                                20     20      +0        0.8       0.8      +0.0%       0.7      0.7
ExtractionBug2                                4      4      +0        0.0       0.0      +0.0%       0.6      0.4
FStar.Algebra.CommMonoid                      3      3      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Algebra.CommMonoid.Equiv                5      5      +0        0.2       0.2      +0.0%       0.1      0.2
FStar.Algebra.CommMonoid.Fold                21     21      +0        1.5       1.5      +0.0%       0.6      0.6
FStar.Algebra.CommMonoid.Fold.Nested          1      1      +0        0.6       0.6      +0.0%       0.2      0.3
FStar.Algebra.Monoid                         14     14      +0        0.7       0.7      +0.0%       0.3      0.3
FStar.All                                     1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Attributes                              6      6      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.BV                                    210    210      +0        1.8       1.8      +0.0%       1.1      1.0
FStar.BigOps                                 23     23      +0        0.7       0.7      +0.0%       0.4      0.3
FStar.Bijection                              11     11      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Bytes                                  31     31      +0        0.5       0.5      +0.0%       0.3      0.3
FStar.Calc                                   13     13      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.Cardinality.Cantor                      2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Cardinality.Universes                   3      3      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Char                                    2      2      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.Class.Embeddable                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Class.Eq                                5      5      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Class.Eq.Raw                            1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Class.Ord.Raw                           7      7      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.Class.Printable                         2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Class.TotalOrder.Raw                   10     10      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Classical                              30     30      +0        0.2       0.2      +0.0%       0.2      0.3
FStar.Classical.Sugar                        26     26      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.ConstantTime.Integers                  42     42      +0        0.8       0.8      +0.0%       0.5      0.5
FStar.Constructive                           12     12      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.DM4F.Continuations                     12     12      +0        0.0       0.0      +0.0%       0.4      0.3
FStar.DM4F.Exceptions                        12     12      +0        0.2       0.2      +0.0%       0.4      0.5
FStar.DM4F.ExnSt                             10     10      +0        0.2       0.2      +0.0%       0.5      0.4
FStar.DM4F.Heap.IntStoreFixed                16     16      +0        0.1       0.1      +0.0%       0.4      0.3
FStar.DM4F.IFC                               10     10      +0        0.1       0.1      +0.0%       0.5      0.3
FStar.DM4F.IntStoreExcFixed                   4      4      +0        0.0       0.0      +0.0%       0.5      0.3
FStar.DM4F.OTP.Heap                          26     26      +0        0.2       0.2      +0.0%       0.8      0.7
FStar.DM4F.OTP.Random                        34     34      +0        0.6       0.6      +0.0%       0.8      0.7
FStar.DM4F.Random                            32     32      +0        0.4       0.4      +0.0%       0.7      0.7
FStar.DM4F.StExn                             10     10      +0        0.1       0.1      +0.0%       0.5      0.4
FStar.DM4F.StExnC                            10     10      +0        0.2       0.2      +0.0%       0.5      0.5
FStar.DependentMap                           31     31      +0        0.4       0.4      +0.0%       0.2      0.2
FStar.Dyn                                     4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Error                                   4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.FiniteSet.Ambient                       1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.FunctionalExtensionality               14     14      +0        0.1       0.1      +0.0%       0.2      0.1
FStar.FunctionalQueue                        24     24      +0        1.2       1.2      +0.0%       0.5      0.5
FStar.Functions                               6      6      +0        0.2       0.2      +0.0%       0.1      0.1
FStar.GSet                                   18     18      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.Ghost                                  16     16      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.GhostSet                               18     18      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.Heap                                    1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.IFC                                     4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.ImmutableArray                          3      3      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.IndefiniteDescription                   5      5      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Int                                   230    230      +0       16.8      16.8      +0.0%       5.8      6.4
FStar.Int.Cast                              112    112      +0        5.4       5.4      +0.0%       1.9      2.3
FStar.Int.Cast.Full                           2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Int128                                 42     42      +0        1.0       1.0      +0.0%       0.8      0.8
FStar.Int16                                  41     41      +0        1.1       1.1      +0.0%       0.9      0.9
FStar.Int32                                  41     41      +0        0.8       0.8      +0.0%       0.6      0.5
FStar.Int64                                  41     41      +0        0.9       0.9      +0.0%       0.6      0.7
FStar.Int8                                   41     41      +0        0.9       0.9      +0.0%       0.6      0.6
FStar.IntegerIntervals                        8      8      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Integers                               48     48      +0        2.9       2.9      +0.0%       1.2      1.1
FStar.LexicographicOrdering                  47     47      +0        0.8       0.8      +0.0%       0.5      0.6
FStar.List                                   19     19      +0        0.2       0.2      +0.0%       0.1      0.1
FStar.List.Pure.Base                          4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.List.Pure.Properties                   24     24      +0        2.4       2.4      +0.0%       0.8      0.7
FStar.List.Tot.Base                          55     55      +0        1.1       1.1      +0.0%       0.6      0.7
FStar.MRef                                    7      7      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.MST                                    11     11      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.MST.MSTATE                              3      3      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.MSTTotal                                9      9      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.MSTTotal.MSTATETOT                      3      3      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Map                                    19     19      +0        0.3       0.3      +0.0%       0.2      0.1
FStar.Math.Fermat                            79     79      +0       17.5      17.5      +0.0%       9.4      9.9
FStar.Math.Lemmas                           259    259      +0       18.5      18.5      +0.0%       5.4      5.5
FStar.Math.Lib                               29     29      +0        0.9       0.9      +0.0%       0.3      0.4
FStar.Matrix2                                11     11      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.Monotonic.Pure                          5      5      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Monotonic.Witnessed                    19     19      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.NMST                                   13     13      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.NMST.NMSTATE                            3      3      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.NMSTTotal                              11     11      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.NMSTTotal.NMSTATETOT                    3      3      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.NormSteps                               6      6      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Option                                  6      6      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.OrdMap                                 38     38      +0        1.1       1.1      +0.0%       0.6      0.4
FStar.OrdMapProps                             1      1      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.OrdSetProps                             4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Order                                  10     10      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.PCM                                    19     19      +0        0.4       0.4      +0.0%       0.3      0.3
FStar.PartialMap                              8      8      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Pervasives                             31     31      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.Pervasives.Exn                          2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Pervasives.Lemma                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Pervasives.Native                      15     15      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.PredicateExtensionality                 1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Printf                                 10     10      +0        2.5       2.5      +0.0%       0.9      1.0
FStar.PropositionalExtensionality             1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.PtrdiffT                               27     27      +0        1.0       1.0      +0.0%       0.4      0.5
FStar.Pure.BreakVC                            6      6      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.RBMap                                  15     15      +0        0.4       0.4      +0.0%       0.2      0.2
FStar.RBSet                                  15     15      +0        0.3       0.3      +0.0%       0.2      0.1
FStar.Ref                                     5      5      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.RefinementExtensionality                4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Reflection.TermEq                      91     91      +0       36.2      36.2      +0.0%       8.4      9.5
FStar.Reflection.TermEq.Simple                2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Reflection.Typing                     294    294      +0       34.4      34.4      +0.0%       8.8     11.2
FStar.Reflection.V1.Derived                  15     15      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Reflection.V1.Formula                  30     30      +0        0.5       0.5      +0.0%       0.3      0.3
FStar.Reflection.V2.Collect                   4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Reflection.V2.Compare                   8      8      +0        0.6       0.6      +0.0%       0.2      0.3
FStar.Reflection.V2.Derived                  16     16      +0        0.3       0.3      +0.0%       0.3      0.2
FStar.Reflection.V2.Formula                  29     29      +0        0.4       0.4      +0.0%       0.3      0.2
FStar.Relational.Relational                   2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.ST                                     14     14      +0        0.2       0.2      +0.0%       0.1      0.1
FStar.Sealed.Inhabited                        2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Seq.Sorted                             14     14      +0        0.5       0.5      +0.0%       0.2      0.2
FStar.Sequence.Seq                            8      8      +0        0.9       0.9      +0.0%       0.3      0.3
FStar.Sequence.Util                          10     10      +0        0.4       0.4      +0.0%       0.2      0.1
FStar.Set                                    16     16      +0        0.2       0.2      +0.0%       0.1      0.2
FStar.SizeT                                  60     60      +0        1.0       1.0      +0.0%       0.6      0.5
FStar.Squash                                  4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.SquashProperties                        8      8      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.String                                  5      5      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Stubs.Reflection.Types                  1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Stubs.Reflection.V1.Data               79     79      +0        0.8       0.8      +0.0%       0.4      0.5
